Type,Frame,TimestampUs,ThreadId,Category,Name,DurationMs,GameThreadMs,RenderPrepareMs,RenderThreadMs,RenderFrameMs,CPUFrameMs,GPUFrameMs,TotalFrameMs,DrawCalls,Triangles,VisibleObjects,Batches
Frame,127225,1781696217681612,54216,"Frame","Frame",,0.0442,0.0206,0,0,0.0442,0,0.0442,0,0,0,0
Frame,127226,1781696217681686,54216,"Frame","Frame",,0.04,0.018,0,0,0.04,0,0.04,0,0,0,0
Frame,127227,1781696217681764,54216,"Frame","Frame",,0.0467,0.0198,0,0,0.0467,0,0.0467,0,0,0,0
Frame,127228,1781696217681844,54216,"Frame","Frame",,0.0469,0.0219,0,0,0.0469,0,0.0469,0,0,0,0
Frame,127229,1781696217682149,54216,"Frame","Frame",,0.2471,0.0391,0,0,0.2471,0,0.2471,0,0,0,0
Frame,127230,1781696217682250,54216,"Frame","Frame",,0.0576,0.0203,0,3.6981,0.0576,1.97056,1.97056,18,2184,0,0
Frame,127231,1781696217682333,54216,"Frame","Frame",,0.045,0.0186,3.708,0,3.708,0,3.708,0,0,0,0
Frame,127232,1781696217682410,54216,"Frame","Frame",,0.0459,0.0183,0,0,0.0459,0,0.0459,0,0,0,0
Frame,127233,1781696217682486,54216,"Frame","Frame",,0.0435,0.019,0,0,0.0435,0,0.0435,0,0,0,0
Frame,127234,1781696217682560,54216,"Frame","Frame",,0.043,0.0187,0,0,0.043,0,0.043,0,0,0,0
Frame,127235,1781696217682636,54216,"Frame","Frame",,0.0462,0.0231,0,0,0.0462,0,0.0462,0,0,0,0
Frame,127236,1781696217682704,54216,"Frame","Frame",,0.0398,0.0168,0,0,0.0398,0,0.0398,0,0,0,0
Frame,127237,1781696217682772,54216,"Frame","Frame",,0.0389,0.0175,0,0,0.0389,0,0.0389,0,0,0,0
Frame,127238,1781696217682848,54216,"Frame","Frame",,0.0462,0.022,0,0,0.0462,0,0.0462,0,0,0,0
Frame,127239,1781696217682922,54216,"Frame","Frame",,0.0427,0.0188,0,0,0.0427,0,0.0427,0,0,0,0
Frame,127240,1781696217682994,54216,"Frame","Frame",,0.042,0.0181,0,0,0.042,0,0.042,0,0,0,0
Frame,127241,1781696217683065,54216,"Frame","Frame",,0.0407,0.0175,0,0,0.0407,0,0.0407,0,0,0,0
Frame,127242,1781696217683133,54216,"Frame","Frame",,0.039,0.0171,0,0,0.039,0,0.039,0,0,0,0
Frame,127243,1781696217683199,54216,"Frame","Frame",,0.0373,0.0169,0,0,0.0373,0,0.0373,0,0,0,0
Frame,127244,1781696217683266,54216,"Frame","Frame",,0.0376,0.017,0,0,0.0376,0,0.0376,0,0,0,0
Frame,127245,1781696217683332,54216,"Frame","Frame",,0.0377,0.0171,0,0,0.0377,0,0.0377,0,0,0,0
Frame,127246,1781696217683398,54216,"Frame","Frame",,0.0372,0.0165,0,0,0.0372,0,0.0372,0,0,0,0
Frame,127247,1781696217683461,54216,"Frame","Frame",,0.0356,0.0158,0,0,0.0356,0,0.0356,0,0,0,0
Frame,127248,1781696217683525,54216,"Frame","Frame",,0.0363,0.0164,0,0,0.0363,0,0.0363,0,0,0,0
Frame,127249,1781696217683589,54216,"Frame","Frame",,0.0363,0.0166,0,0,0.0363,0,0.0363,0,0,0,0
Frame,127250,1781696217683656,54216,"Frame","Frame",,0.0384,0.0178,0,0,0.0384,0,0.0384,0,0,0,0
Frame,127251,1781696217683720,54216,"Frame","Frame",,0.0364,0.0162,0,0,0.0364,0,0.0364,0,0,0,0
Frame,127252,1781696217683785,54216,"Frame","Frame",,0.0367,0.0161,0,0,0.0367,0,0.0367,0,0,0,0
Frame,127253,1781696217683865,54216,"Frame","Frame",,0.0426,0.0194,0,0,0.0426,0,0.0426,0,0,0,0
Frame,127254,1781696217683933,54216,"Frame","Frame",,0.0396,0.0176,0,0,0.0396,0,0.0396,0,0,0,0
Frame,127255,1781696217684007,54216,"Frame","Frame",,0.0432,0.0196,0,0,0.0432,0,0.0432,0,0,0,0
Frame,127256,1781696217684076,54216,"Frame","Frame",,0.0405,0.0175,0,0,0.0405,0,0.0405,0,0,0,0
Frame,127257,1781696217684145,54216,"Frame","Frame",,0.0406,0.0181,0,0,0.0406,0,0.0406,0,0,0,0
Frame,127258,1781696217684216,54216,"Frame","Frame",,0.0407,0.0189,0,0,0.0407,0,0.0407,0,0,0,0
Frame,127259,1781696217684286,54216,"Frame","Frame",,0.0412,0.0188,0,0,0.0412,0,0.0412,0,0,0,0
Frame,127260,1781696217684354,54216,"Frame","Frame",,0.0393,0.017,0,0,0.0393,0,0.0393,0,0,0,0
Frame,127261,1781696217684423,54216,"Frame","Frame",,0.0404,0.019,0,0,0.0404,0,0.0404,0,0,0,0
Frame,127262,1781696217684498,54216,"Frame","Frame",,0.0443,0.0195,0,0,0.0443,0,0.0443,0,0,0,0
Frame,127263,1781696217684574,54216,"Frame","Frame",,0.04,0.0177,0,0,0.04,0,0.04,0,0,0,0
Frame,127264,1781696217684646,54216,"Frame","Frame",,0.0428,0.0196,0,0,0.0428,2.13856,2.13856,0,0,0,0
Frame,127265,1781696217684741,54216,"Frame","Frame",,0.0573,0.0269,0,0,0.0573,0,0.0573,0,0,0,0
Frame,127266,1781696217684814,54216,"Frame","Frame",,0.0418,0.0202,0,0,0.0418,0,0.0418,0,0,0,0
Frame,127267,1781696217684882,54216,"Frame","Frame",,0.0373,0.0168,0,0,0.0373,0,0.0373,0,0,0,0
Frame,127268,1781696217684946,54216,"Frame","Frame",,0.0362,0.0164,0,0,0.0362,0,0.0362,0,0,0,0
Frame,127269,1781696217685016,54216,"Frame","Frame",,0.0407,0.0188,0,0,0.0407,0,0.0407,0,0,0,0
Frame,127270,1781696217685093,54216,"Frame","Frame",,0.0428,0.0205,0,0,0.0428,0,0.0428,0,0,0,0
Frame,127271,1781696217685165,54216,"Frame","Frame",,0.0385,0.0172,0,0,0.0385,0,0.0385,0,0,0,0
Frame,127272,1781696217685239,54216,"Frame","Frame",,0.0456,0.0237,0,0,0.0456,0,0.0456,0,0,0,0
Frame,127273,1781696217685310,54216,"Frame","Frame",,0.0413,0.0183,0,0,0.0413,0,0.0413,0,0,0,0
Frame,127274,1781696217685621,54216,"Frame","Frame",,0.1165,0.0462,0,0,0.1165,0,0.1165,0,0,0,0
Frame,127275,1781696217685706,54216,"Frame","Frame",,0.0435,0.0186,0,0,0.0435,0,0.0435,0,0,0,0
Frame,127276,1781696217685872,54216,"Frame","Frame",,0.1237,0.0755,0,0,0.1237,0,0.1237,0,0,0,0
Frame,127277,1781696217686097,54216,"Frame","Frame",,0.136,0.0564,0,0,0.136,0,0.136,0,0,0,0
Frame,127278,1781696217686297,54216,"Frame","Frame",,0.1245,0.0588,3.9475,3.938,3.9475,2.13856,3.9475,15,2184,0,0
Frame,127279,1781696217686498,54216,"Frame","Frame",,0.1245,0.0568,0,0,0.1245,0,0.1245,0,0,0,0
Frame,127280,1781696217686706,54216,"Frame","Frame",,0.1306,0.0602,0,0,0.1306,0,0.1306,0,0,0,0
Frame,127281,1781696217686918,54216,"Frame","Frame",,0.1327,0.0596,0,0,0.1327,0,0.1327,0,0,0,0
Frame,127282,1781696217687131,54216,"Frame","Frame",,0.1354,0.0624,0,0,0.1354,0,0.1354,0,0,0,0
Frame,127283,1781696217687359,54216,"Frame","Frame",,0.147,0.0671,0,0,0.147,0,0.147,0,0,0,0
Frame,127284,1781696217687622,54216,"Frame","Frame",,0.1516,0.0666,0,0,0.1516,0,0.1516,0,0,0,0
Frame,127285,1781696217687781,54216,"Frame","Frame",,0.1075,0.0433,0,0,0.1075,0,0.1075,0,0,0,0
Frame,127286,1781696217687856,54216,"Frame","Frame",,0.0432,0.0179,0,0,0.0432,0,0.0432,0,0,0,0
Frame,127287,1781696217687922,54216,"Frame","Frame",,0.0366,0.0162,0,0,0.0366,0,0.0366,0,0,0,0
Frame,127288,1781696217687986,54216,"Frame","Frame",,0.0356,0.0158,0,0,0.0356,0,0.0356,0,0,0,0
Frame,127289,1781696217688050,54216,"Frame","Frame",,0.0358,0.0158,0,0,0.0358,0,0.0358,0,0,0,0
Frame,127290,1781696217688113,54216,"Frame","Frame",,0.0352,0.0155,0,0,0.0352,0,0.0352,0,0,0,0
Frame,127291,1781696217688176,54216,"Frame","Frame",,0.0354,0.016,0,0,0.0354,0,0.0354,0,0,0,0
Frame,127292,1781696217688239,54216,"Frame","Frame",,0.0352,0.0157,0,0,0.0352,0,0.0352,0,0,0,0
Frame,127293,1781696217688302,54216,"Frame","Frame",,0.0355,0.0159,0,0,0.0355,0,0.0355,0,0,0,0
Frame,127294,1781696217688364,54216,"Frame","Frame",,0.0348,0.0156,0,0,0.0348,0,0.0348,0,0,0,0
Frame,127295,1781696217688427,54216,"Frame","Frame",,0.0349,0.0157,0,0,0.0349,0,0.0349,0,0,0,0
Frame,127296,1781696217688490,54216,"Frame","Frame",,0.0351,0.0157,0,0,0.0351,0,0.0351,0,0,0,0
Frame,127297,1781696217688553,54216,"Frame","Frame",,0.0353,0.0156,0,0,0.0353,0,0.0353,0,0,0,0
Frame,127298,1781696217688622,54216,"Frame","Frame",,0.036,0.016,0,0,0.036,0,0.036,0,0,0,0
Frame,127299,1781696217688694,54216,"Frame","Frame",,0.039,0.0177,0,0,0.039,2.19811,2.19811,0,0,0,0
Frame,127300,1781696217688785,54216,"Frame","Frame",,0.0527,0.0255,0,0,0.0527,0,0.0527,0,0,0,0
Frame,127301,1781696217688858,54216,"Frame","Frame",,0.0384,0.0178,0,0,0.0384,0,0.0384,0,0,0,0
Frame,127302,1781696217688924,54216,"Frame","Frame",,0.0358,0.016,0,0,0.0358,0,0.0358,0,0,0,0
Frame,127303,1781696217688988,54216,"Frame","Frame",,0.036,0.0161,0,0,0.036,0,0.036,0,0,0,0
Frame,127304,1781696217689056,54216,"Frame","Frame",,0.0391,0.0175,0,0,0.0391,0,0.0391,0,0,0,0
Frame,127305,1781696217689131,54216,"Frame","Frame",,0.0419,0.0172,0,0,0.0419,0,0.0419,0,0,0,0
Frame,127306,1781696217689202,54216,"Frame","Frame",,0.0373,0.0162,0,0,0.0373,0,0.0373,0,0,0,0
Frame,127307,1781696217689274,54216,"Frame","Frame",,0.0426,0.016,0,0,0.0426,0,0.0426,0,0,0,0
Frame,127308,1781696217689344,54216,"Frame","Frame",,0.0375,0.0157,0,0,0.0375,0,0.0375,0,0,0,0
Frame,127309,1781696217689415,54216,"Frame","Frame",,0.0387,0.0176,0,0,0.0387,0,0.0387,0,0,0,0
Frame,127310,1781696217689495,54216,"Frame","Frame",,0.0443,0.0191,0,0,0.0443,0,0.0443,0,0,0,0
Frame,127311,1781696217689572,54216,"Frame","Frame",,0.0464,0.0209,0,0,0.0464,0,0.0464,0,0,0,0
Frame,127312,1781696217689650,54216,"Frame","Frame",,0.0418,0.0187,0,0,0.0418,0,0.0418,0,0,0,0
Frame,127313,1781696217689729,54216,"Frame","Frame",,0.0435,0.0185,0,0,0.0435,0,0.0435,0,0,0,0
Frame,127314,1781696217689811,54216,"Frame","Frame",,0.0461,0.0181,0,0,0.0461,0,0.0461,0,0,0,0
Frame,127315,1781696217689894,54216,"Frame","Frame",,0.047,0.0212,0,0,0.047,0,0.047,0,0,0,0
Frame,127316,1781696217689973,54216,"Frame","Frame",,0.0463,0.0207,0,0,0.0463,0,0.0463,0,0,0,0
Frame,127317,1781696217690051,54216,"Frame","Frame",,0.0452,0.0199,0,0,0.0452,0,0.0452,0,0,0,0
Frame,127318,1781696217690142,54216,"Frame","Frame",,0.0488,0.0206,3.8621,3.8264,3.8621,2.19811,3.8621,18,2184,0,0
Frame,127319,1781696217690222,54216,"Frame","Frame",,0.0453,0.021,0,0,0.0453,0,0.0453,0,0,0,0
