Type,Frame,TimestampUs,ThreadId,Category,Name,DurationMs,GameThreadMs,RenderPrepareMs,RenderThreadMs,RenderFrameMs,CPUFrameMs,GPUFrameMs,TotalFrameMs,DrawCalls,Triangles,VisibleObjects,Batches
Frame,0,1781696289499778,53912,"Frame","Frame",,8109.96,0.8508,0,7946.51,8109.96,0,8109.96,14,4104,0,0
Frame,1,1781696291020354,53912,"Frame","Frame",,1519.84,0.6448,0,2.6704,1519.84,1.93254,1519.84,14,4104,0,0
Frame,2,1781696291027851,53912,"Frame","Frame",,7.0874,0.7355,0,5.941,7.0874,2.32717,7.0874,12,2184,0,0
Frame,3,1781696291032227,53912,"Frame","Frame",,4.2936,0.0527,0,4.1482,4.2936,2.13466,4.2936,12,2184,0,0
Frame,4,1781696291037567,53912,"Frame","Frame",,5.1885,0.0503,0,5.0404,5.1885,2.13472,5.1885,12,2184,0,0
Frame,5,1781696291043461,53912,"Frame","Frame",,5.823,0.0567,0,5.6608,5.823,2.16499,5.823,12,2184,0,0
Frame,6,1781696291048607,53912,"Frame","Frame",,5.0745,0.0606,0,4.9155,5.0745,2.16787,5.0745,12,2184,0,0
Frame,7,1781696291053535,53912,"Frame","Frame",,4.8528,0.0515,0,4.7053,4.8528,2.15594,4.8528,12,2184,0,0
Frame,8,1781696291060016,53912,"Frame","Frame",,6.4069,0.0887,0,6.2047,6.4069,2.18992,6.4069,12,2184,0,0
Frame,9,1781696291067259,53912,"Frame","Frame",,7.1733,0.0484,0,7.0362,7.1733,2.73946,7.1733,12,2184,0,0
Frame,10,1781696291084213,53912,"Frame","Frame",,16.8831,0.0484,0,16.7495,16.8831,2.74253,16.8831,12,2184,0,0
Frame,11,1781696291089776,53912,"Frame","Frame",,5.4826,0.0833,0,5.3086,5.4826,3.37984,5.4826,12,2184,0,0
Frame,12,1781696291094440,53912,"Frame","Frame",,4.5822,0.0542,0,4.4351,4.5822,2.38278,4.5822,12,2184,0,0
Frame,13,1781696291100267,53912,"Frame","Frame",,5.7494,0.0458,0,5.6198,5.7494,2.93344,5.7494,12,2184,0,0
Frame,14,1781696291105168,53912,"Frame","Frame",,4.8202,0.0472,0,4.6905,4.8202,2.34221,4.8202,12,2184,0,0
Frame,15,1781696291111465,53912,"Frame","Frame",,6.2135,0.0505,0,6.07,6.2135,2.68835,6.2135,12,2184,0,0
Frame,16,1781696291116831,53912,"Frame","Frame",,5.2871,0.0511,0,5.1454,5.2871,2.81549,5.2871,12,2184,0,0
Frame,17,1781696291123422,53912,"Frame","Frame",,6.5098,0.0475,0,6.3782,6.5098,3.74774,6.5098,12,2184,0,0
Frame,18,1781696291127390,53912,"Frame","Frame",,3.889,0.058,0,3.7346,3.889,2.44554,3.889,12,2184,0,0
Frame,19,1781696291133176,53912,"Frame","Frame",,5.7174,0.0417,0,5.6046,5.7174,2.70662,5.7174,12,2184,0,0
Frame,20,1781696291138457,53912,"Frame","Frame",,5.2071,0.0436,0,5.0878,5.2071,2.32429,5.2071,12,2184,0,0
Frame,21,1781696291144536,53912,"Frame","Frame",,6,0.0461,0,5.8725,6,2.4055,6,12,2184,0,0
Frame,22,1781696291150191,53912,"Frame","Frame",,5.5723,0.052,0,5.4285,5.5723,2.83466,5.5723,12,2184,0,0
Frame,23,1781696291156712,53912,"Frame","Frame",,6.4395,0.0471,0,6.3075,6.4395,3.81674,6.4395,12,2184,0,0
Frame,24,1781696291160677,53912,"Frame","Frame",,3.8834,0.0639,0,3.6938,3.8834,2.36381,3.8834,12,2184,0,0
Frame,25,1781696291166624,53912,"Frame","Frame",,5.8748,0.0441,0,5.757,5.8748,2.71194,5.8748,12,2184,0,0
Frame,26,1781696291171602,53912,"Frame","Frame",,4.9047,0.0445,0,4.7854,4.9047,2.28467,4.9047,12,2184,0,0
Frame,27,1781696291178019,53912,"Frame","Frame",,6.3412,0.0426,0,6.2222,6.3412,2.29658,6.3412,12,2184,0,0
Frame,28,1781696291183551,53912,"Frame","Frame",,5.4472,0.0474,0,5.3036,5.4472,2.73427,5.4472,12,2184,0,0
Frame,29,1781696291190320,53912,"Frame","Frame",,6.6881,0.0461,0,6.5538,6.6881,3.90618,6.6881,12,2184,0,0
